pertanyaan 1;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 2;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 3;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 4;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 5;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 6;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 7;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 8;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 9;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 10;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 11;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 12;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 13;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 14;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 15;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 16;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 17;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 18;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 19;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 20;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 21;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 22;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 23;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 24;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 25;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 26;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 27;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 28;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 29;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 30;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 31;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 32;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 33;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 34;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 35;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 36;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 37;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 38;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 39;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 40;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 41;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 42;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 43;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 44;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 45;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 46;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 47;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 48;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 49;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 50;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 51;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 52;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 53;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 54;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 55;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 56;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 57;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 58;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 59;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 60;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 61;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 62;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 63;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 64;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 65;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 66;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 67;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 68;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 69;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 70;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 71;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 72;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 73;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 74;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 75;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 76;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 77;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 78;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 79;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 80;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 81;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 82;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 83;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 84;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 85;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 86;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 87;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 88;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 89;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 90;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 91;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 92;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 93;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 94;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 95;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 96;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 97;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 98;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 99;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 100;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 101;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 102;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 103;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 104;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 105;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 106;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 107;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 108;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 109;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 110;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 111;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 112;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 113;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 114;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 115;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 116;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 117;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 118;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 119;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 120;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E